Edad,qx,lx,dx,Dx,Cx,Nx,Mx,Rx
63,0.03796311,3792756.770342664,143984.8424757633,175399.82303712855,6341.640738989567,1774825.4994298292,90884.32306427945,15217259.180076154
64,0.03870763,3648771.927866901,141235.31373825867,160705.80977256145,5924.324784311134,1599425.6763927005,84542.68232528988,13442433.680646325
65,0.04007493,3507536.6141286422,140564.28428364237,147128.82738003306,5615.407103082771,1438719.8666201392,78618.35754097874,11843008.004253624
66,0.0408964,3366972.329845,137697.04719027306,134507.2856398059,5238.917863275959,1291591.039240106,73002.95043789598,10404288.137633484
67,0.04178883,3229275.282654727,134947.63581006034,122863.25893653915,4889.820800900015,1157083.7536003003,67764.03257462003,9112697.098393379
68,0.04278337,3094327.6468446665,132385.7646161847,112122.80675770869,4568.563359003382,1034220.494663761,62874.21177372,7955613.3447930785
69,0.04391568,2961941.8822284816,130075.69187854369,102215.06212452869,4275.08948518183,922097.6879060523,58305.64841471662,6921392.8501293175
70,0.04529994,2831866.190349938,128283.36851088075,93072.588728655,4015.4120810026175,819882.6257815236,54030.55892953479,5999295.1622232655
71,0.04683533,2703582.821839057,126623.19364316344,84625.14861295454,3774.711201511207,726810.0370528686,50015.146848532175,5179412.5364417415
72,0.04864091,2576959.6281958935,125345.66134870992,76820.66842987404,3558.6925897498527,642184.8884399141,46240.43564702097,4452602.499388873
73,0.05076533,2451613.9668471836,124456.99205960633,69603.84877203497,3365.202240173761,565364.2200100401,42681.74305727112,3810417.610948959
74,0.0532563,2327156.9747875775,123935.76999637966,62924.17754271668,3191.5322633030305,495760.3712380051,39316.54081709735,3245053.3909389186
75,0.05714919,2203221.2047911976,125912.30724464107,56736.25587261761,3088.0295873836562,432836.19369528844,36125.00855379432,2749293.0197009137
76,0.06055723,2077308.8975465565,125796.07268977325,50946.499815109295,2938.2656257128865,376099.93782267085,33036.978966410665,2316456.826005625
77,0.06444797,1951512.8248567833,125771.03999098521,45582.21038867692,2797.791359679179,325153.43800756155,30098.71334069778,1940356.8881829542
78,0.06883571,1825741.784865798,125676.23203790445,40613.83758191788,2662.554615024762,279571.22761888464,27300.9219810186,1615203.4501753927
79,0.07371979,1700065.5528278935,125328.4755407062,36017.290701087506,2528.749625574403,238957.39003696674,24638.36736599384,1335632.2225565081
