"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
27,3.2159889999986e-08,0.99999996784011,9999997.85995912,0.321598831176381,2678482.61679602,0.0820378155457474,55148224.885814,52376.6698524947,20.0893532927915
28,3.48417921337229e-08,0.999999965158208,9999997.53836029,0.34841783556929,2550935.7434822,0.0846468313532295,52469742.269018,52376.5878146791,20.0688216189221
29,3.77847741495785e-08,0.999999962215226,9999997.18994245,0.377847635318395,2429462.52819336,0.0874254218406193,49918806.5255358,52376.5031678478,20.0472634157717
30,4.1199025032326e-08,0.999999958800975,9999996.81209482,0.411990118984675,2313773.74894921,0.0907859262877118,47489343.9973424,52376.415742426,20.0246273620787
31,4.51071137283394e-08,0.999999954892886,9999996.4001047,0.451070974902508,2203593.95583237,0.0946645363588686,45175570.2483932,52376.3249564997,20.0008595747981
32,4.88865859908769e-08,0.999999951113414,9999995.94903372,0.488865661870858,2098660.815652,0.0977108213619577,42971976.2925608,52376.2302919633,19.9759034771469
33,5.22574505969503e-08,0.999999947742549,9999995.46016806,0.522574268729459,1998724.48862442,0.0994745202106718,40873315.4769088,52376.1325811419,19.9496996507202
34,5.52486572182923e-08,0.999999944751343,9999994.93759379,0.552486292491778,1903547.03254874,0.100160397619222,38874590.9882844,52376.0331066217,19.9221857004676
35,5.76771613896925e-08,0.999999942322839,9999994.3851075,0.576771290045864,1812901.83560031,0.0995838397672272,36971043.9557357,52375.9329462241,19.8932961121932
36,5.98406642819742e-08,0.999999940159336,9999993.80833621,0.598406272306467,1726573.07717836,0.0983993141616429,35158142.1201354,52375.8333623844,19.8629620922807
37,6.1533416777792e-08,0.999999938466583,9999993.20992994,0.615333749961709,1644355.21319912,0.0963645663471585,33431569.042957,52375.7349630702,19.831111413522
38,6.27751771885866e-08,0.999999937224823,9999992.59459618,0.62775130701033,1566052.4876346,0.093627830855132,31787213.8297579,52375.6385985038,19.797668233183
39,6.38699852674577e-08,0.999999936130015,9999991.96684488,0.638699339597077,1491478.46602416,0.0907244834778035,30221161.3421233,52375.544970673,19.7625529168275
40,6.45655875780725e-08,0.999999935434412,9999991.32814554,0.645655315877346,1420455.59120329,0.087345285594856,28729682.8760991,52375.4542461895,19.7256818544828
41,6.44924136528462e-08,0.999999935507586,9999990.68249022,0.644923535619768,1352814.76141975,0.0830917039896755,27309227.2848958,52375.3669009039,19.6869672505904
42,6.3893553657849e-08,0.999999936106446,9999990.03756669,0.638934900043223,1288394.92778425,0.0784001242389368,25956412.5234761,52375.2838091999,19.6463169124045
43,6.25276795391912e-08,0.99999993747232,9999989.39863179,0.625276132512957,1227042.70996583,0.0730706031901373,24668017.5956918,52375.2054090757,19.6036340425174
44,6.10238634313306e-08,0.999999938976137,9999988.77335565,0.610237949220095,1168612.03165876,0.0679173533563371,23440974.885726,52375.1323384725,19.5588169988745
45,5.94626552467405e-08,0.999999940537345,9999988.1631177,0.594625848614954,1112963.77175766,0.0630283629163214,22272362.8540672,52375.0644211191,19.5117590700131
46,5.79810086957634e-08,0.999999942018991,9999987.56849186,0.579809366166253,1059965.43388369,0.0585313000373513,21159399.0823096,52375.0013927562,19.462348210528
47,5.68707364955366e-08,0.999999943129264,9999986.98868249,0.568706624992157,1009490.83088174,0.054676654321653,20099433.6484259,52374.9428614562,19.4104667754833
48,5.61044497326549e-08,0.99999994389555,9999986.41997587,0.561043735426768,961419.784258334,0.0513713599599063,19089942.8175441,52374.8881848019,19.3559912434823
49,5.55093457545707e-08,0.999999944490654,9999985.85893213,0.555092672584282,915637.838398482,0.0484061498644086,18128523.0332858,52374.8368134419,19.2987919164568
50,5.52978699622641e-08,0.99999994470213,9999985.30383946,0.552977886956267,872035.988163833,0.0459254596913316,17212885.1948873,52374.788407292,19.2387326079637
51,5.36194871678805e-08,0.999999946380513,9999984.75086157,0.536194054027823,830510.418992476,0.0424109930990077,16340849.2067235,52374.7424818323,19.1756703263846
52,5.18835514189035e-08,0.999999948116449,9999984.21466752,0.518834695189925,790962.261391365,0.0390837439612486,15510338.787731,52374.7000708392,19.1094548941527
53,5.11615889296952e-08,0.999999948838411,9999983.69583282,0.511615055149853,753297.352717556,0.0367046566681554,14719376.5263397,52374.6609870953,19.0399286526613
54,5.12960282208847e-08,0.999999948703972,9999983.18421777,0.512959419626007,717426.013502539,0.0350486714619267,13966079.1736221,52374.6242824386,18.9669260812532
55,5.2274998842505e-08,0.999999947725001,9999982.67125835,0.5227490825651,683262.834953747,0.0340167275298417,13248653.1601196,52374.5892337672,18.8902733799599
56,5.43418022908132e-08,0.999999945658198,9999982.14850926,0.543417052825952,650726.475463032,0.0336777614047712,12565390.3251658,52374.5552170396,18.809788058377
57,5.81095727978328e-08,0.999999941890427,9999981.60509221,0.581094659058095,619739.466763221,0.0342979006281595,11914663.8497028,52374.5215392782,18.7252785060322
58,6.32548213405052e-08,0.999999936745179,9999981.02399755,0.632547013081407,590228.029286119,0.0355569224215733,11294924.3829396,52374.4872413776,18.6365435433501
59,7.02015925878809e-08,0.999999929798407,9999980.39145054,0.702014549327408,562121.897096524,0.0375827165759018,10704696.3536534,52374.4516844552,18.5433719251027
60,7.87742464119917e-08,0.999999921225754,9999979.68943599,0.787740864170542,535354.150128259,0.0401639235617961,10142574.4565569,52374.4141017386,18.4455418513651
61,8.99619037175873e-08,0.999999910038096,9999978.90169512,0.899617139132201,509861.055196323,0.0436838772923039,9607220.30642866,52374.373937815,18.3428204282623
62,1.04092668185689e-07,0.999999895907332,9999978.00207799,1.04092439203449,485581.913645954,0.0481385876324952,9097359.25123234,52374.3302539377,18.2349631351084
63,1.21922250294199e-07,0.99999987807775,9999976.96115359,1.21921969399399,462458.917238512,0.0536990779603218,8611777.33758638,52374.2821153501,18.1217132302476
64,1.48710512890675e-07,0.999999851289487,9999975.7419339,1.4871015214773,440437.0103376,0.0623786797174665,8149318.42034787,52374.2284162721,18.0028011476632
65,1.86733395607455e-07,0.999999813266604,9999974.25483238,1.86732914859198,419463.756990463,0.0745979920734187,7708881.41001027,52374.1660375924,17.8779439380398
66,2.37294689297012e-07,0.999999762705311,9999972.38750323,2.37294034067128,399489.217773877,0.0902825426753892,7289417.65301981,52374.0914396004,17.746844542237
67,3.04561465518197e-07,0.999999695438535,9999970.01456289,3.0456055227733,380465.831406864,0.110357363040832,6889928.43524593,52374.0011570577,17.6091910665637
68,3.95147890418954e-07,0.99999960485211,9999966.96895737,3.95146585204273,362348.300506317,0.136363015754252,6509462.60383907,52373.8907996946,17.4646560912339
69,5.14554661040287e-07,0.999999485445339,9999963.01749151,5.14552758088075,345093.48316681,0.169113771674391,6147114.30333275,52373.7544366789,17.3128959345239
70,6.55318420386767e-07,0.99999934468158,9999957.87196393,6.55315659658962,328660.291045095,0.205121088353835,5802020.82016594,52373.5853229072,17.1535498149664
71,8.3058499706953e-07,0.999999169415003,9999951.31880734,8.30580953682703,313009.59587424,0.247601023116134,5473360.52912084,52373.3802018189,16.9862387647691
72,1.04268844554766e-06,0.999998957311554,9999943.0129978,10.4268250357879,298104.129422063,0.296028315541362,5160350.9332466,52373.1326007957,16.8105650809032
73,1.31776899596359e-06,0.999998682231004,9999932.58617276,13.1776011237845,283908.398659363,0.356310176616171,4862246.80382454,52372.8365724802,16.6261111921466
74,1.64664328969756e-06,0.99999835335671,9999919.40857164,16.4663001916409,270388.594793979,0.424031966884056,4578338.40516518,52372.4802623036,16.4324390647972
75,2.03356011605971e-06,0.999997966439884,9999902.94227145,20.3354037878713,257512.52339087,0.498730663765301,4307949.8103712,52372.0562303367,16.2290885648784
76,2.49768322854403e-06,0.999997502316771,9999882.60686766,24.9765390745825,245249.523546355,0.583386306447759,4050437.28698033,52371.5574996729,16.0155765785402
77,3.07375198716617e-06,0.999996926248013,9999857.63032858,30.7370822626013,233570.391419746,0.683749956923453,3805187.76343397,52370.9741133665,15.791396098214
78,3.7740504879986e-06,0.999996225949512,9999826.89324632,37.7398515663578,222447.308078373,0.799549877721103,3571617.37201423,52370.2903634096,15.5560152553335
79,4.6902049636655e-06,0.999995309795036,9999789.15339475,46.9010607228605,211853.779572382,0.946321570020651,3349170.06393585,52369.4908135318,15.3088756815952
80,5.91068315234572e-06,0.999994089316848,9999742.25233403,59.1053080586704,201764.55803308,1.13577749895867,3137316.28436347,52368.5444919618,15.0493923955123
81,7.55750905846882e-06,0.999992442490942,9999683.14702597,75.5726959654668,192155.586158767,1.38306436479073,2935551.72633039,52367.4087144629,14.7769523125126
82,9.9421833201978e-06,0.99999005781668,9999607.57433001,99.4179316340274,183003.937086842,1.73281780079555,2743396.14017162,52366.0256500981,14.4909132221007
83,1.35353656950996e-05,0.999986464634305,9999508.15639837,135.346999667983,174287.73107443,2.24671254882056,2560392.20308478,52364.2928322973,14.1906049398931
84,1.89865935633333e-05,0.999981013406437,9999372.80939871,189.854027420299,165986.068596432,3.00143811582477,2386104.47201035,52362.0461197485,13.8753297622331
85,2.78064408760001e-05,0.999972193559124,9999182.95537129,278.04168965684,158078.968653724,4.18629856724653,2220118.40341392,52359.0446816326,13.5443629049551
86,4.11582051297061e-05,0.99995884179487,9998904.91368163,411.536979509734,150547.212419265,5.90119338138815,2062039.4347602,52354.8583830654,13.1969619139645
87,6.2054300180476e-05,0.99993794569982,9998493.37670212,620.449509350375,143372.396348776,8.47321306725822,1911492.22234093,52348.957189684,12.8323587456188
88,9.70619483011308e-05,0.999902938051699,9997872.92719277,970.41302518046,136536.666166719,12.6214426977932,1768119.82599215,52340.4839766167,12.449780272452
89,0.000162490579721101,0.999837509420279,9996902.51416759,1624.40248494242,130022.298716083,20.1213320905204,1631583.15982543,52327.8625339189,12.048487266697
90,0.000281087940865435,0.999718912059135,9995278.11168265,2809.55214279023,123810.639349893,33.1444549258042,1501560.86110935,52307.7412018284,11.627882296657
91,0.000504468036840315,0.99949553196316,9992468.55953986,5040.88099741964,117881.75016402,56.6357857948034,1377750.22175946,52274.5967469026,11.1875616441261
92,0.000889067507869905,0.99911093249213,9987427.67854244,8879.49743619264,112211.697703748,95.0131185060212,1259868.47159544,52217.9609611078,10.7276036935262
93,0.00141764146675699,0.998582358533243,9978548.18110624,14146.0036795687,106773.270408873,144.158300640833,1147656.77389169,52122.9478426018,10.2485400559232
94,0.00228495169462283,0.997715048305377,9964402.17742668,22768.1776412145,101544.67066019,220.975873623733,1040883.50348282,51978.789541961,9.75049859057632
95,0.00391322068558869,0.996086779314411,9941633.99978546,38903.8078165123,96488.2342789386,359.599765996448,939338.832822628,51757.8136683372,9.2352681375336
96,0.00621846550820421,0.993781534491796,9902730.19196895,61579.7861358114,91533.9566901356,542.095954768634,842850.59854369,51398.2139023408,8.70806473380082
97,0.00797852609907457,0.992021473900925,9841150.40583314,78517.875357858,86633.1008929795,658.28995858895,751316.641853554,50856.1179475721,8.1723969719343
98,0.0098968215599723,0.990103178440028,9762632.53047528,96619.0321096947,81849.425177582,771.475386446508,664683.540960575,50197.8279889832,7.62080890633581
99,0.0151516092920358,0.984848390707964,9666013.49836558,146455.659938779,77180.3581160125,1113.72060113641,582834.115782992,49426.3526025367,7.05158605129706
100,0.0180418085083121,0.981958191491688,9519557.8384268,171750.039604698,72391.3823664946,1243.87757934123,505653.75766698,48312.6320014003,6.48499933468621
101,0.0217906118455133,0.978209388154487,9347807.79882211,203694.451350595,67700.2961030346,1404.98178495957,433262.375300485,47068.754422059,5.89971167395034
102,0.0267786348017113,0.973221365198289,9144113.34747151,244866.871917393,63071.490694121,1608.54134828324,365562.079197451,45663.7726370995,5.29599554686799
103,0.036490634465831,0.963509365534169,8899246.47555412,324739.15016078,58459.5450270701,2031.64370344915,302490.58850333,44055.2312888162,4.67435755552425
104,0.0471386711591962,0.952861328840804,8574507.32539334,404190.881163836,53644.113465189,2408.29735644015,244031.04347626,42023.5875853671,4.04907403092079
105,0.0607944128784266,0.939205587121573,8170316.4442295,496709.591257886,48681.3345151684,2818.62204760757,190386.930011071,39615.290228927,3.4108814889154
106,0.0782407254157075,0.921759274584293,7673606.85297162,600388.566731443,43544.5536811243,3244.72139801369,141705.595495902,36796.6681813194,2.75426680299927
107,0.100419601497129,0.899580398502871,7073218.28624017,710289.761606442,38226.2821078189,3655.87430093715,98161.0418147781,33551.9467833057,2.06789403525853
108,0.128433926807032,0.871566073192968,6362928.52463373,817215.896411185,32750.1086588904,4005.92862706503,59934.7597069591,29896.0724823685,1.33006292685045
109,1,0,5545712.62822254,5545712.62822254,27184.6510480687,25890.1438553035,27184.6510480687,25890.1438553035,0.5
