"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","ex"
89,0.15006501,0.84993499,564223.811211255,84670.2518716551,7338.4407640335,1048.80303489438,32162.6930191485,5806.47650037399,3.88276931753423
90,0.16293381,0.83706619,479553.5593396,78135.4885222621,5940.18816894705,921.769038555683,24824.252255115,4757.67346547961,3.67903466171094
91,0.17478192,0.82521808,401418.070817338,70160.6211401503,4735.55302710818,788.275286037885,18884.0640861679,3835.90442692393,3.48772096480983
92,0.18747762,0.81252238,331257.449677188,62103.3582727489,3721.7752159699,664.523390157165,14148.5110590598,3047.62914088605,3.30154905603901
93,0.20106321,0.79893679,269154.091404439,54116.9856024099,2880.02443457607,551.492340661239,10426.7358430899,2383.10575072888,3.12036367397162
94,0.21557974,0.78442026,215037.105802029,46357.6433591539,2191.38807322074,449.922734346693,7546.71140851379,1831.61341006764,2.9438041808917
95,0.23386842,0.76613158,168679.462442875,39448.7993679645,1637.11352586353,364.637289194603,5355.32333529305,1381.69067572095,2.77119851536763
96,0.25056103,0.74943897,129230.66307491,32380.1680476325,1194.51844972305,285.0474029682,3718.20980942952,1017.05338652635,2.61272698240165
97,0.26830449,0.73169551,96850.4950272779,25985.4226745413,852.589215815654,217.860490218018,2523.69135970647,732.005983558146,2.46003199769787
98,0.28712621,0.71287379,70865.0723527366,20347.219646017,594.129239130224,162.466739696805,1671.10214389082,514.145493340128,2.31269130322087
99,0.30704706,0.69295294,50517.8527067195,15511.3581511113,403.370630903409,117.955967913559,1076.97290476059,351.678753643323,2.16993385797214
100,0.3320466,0.6679534,35006.4945556083,11623.7874951082,266.206537708735,84.1837864228165,673.602273857183,233.722785729765,2.03037464689989
101,0.35446258,0.64553742,23382.7070605,8288.29467204906,169.346249490265,57.1684842929932,407.395736148448,149.538999306948,1.90569683340917
102,0.37799926,0.62200074,15094.412388451,5705.6767129693,104.113658078687,37.4808435329875,238.049486658184,92.3705150139549,1.78643860038296
103,0.40263525,0.59736475,9388.73567548167,3780.23593588148,61.6750213038576,23.6500358299372,133.935828579496,54.8896714809675,1.6716381404982
104,0.42833402,0.57166598,5608.49973960019,2402.3112396319,35.0880796975463,14.3137316485051,72.2608072756387,31.2396356510303,1.55941185435383
105,0.45504205,0.54495795,3206.18849996829,1458.95058771199,19.1034871110628,8.2789427973015,37.1727275780925,16.9259040025252,1.44586084529907
106,0.48268701,0.51731299,1747.23791225629,843.369043625633,9.9148544513297,4.5578775711405,18.0692404670297,8.6469612052237,1.32244132334251
107,0.51117625,0.48882375,903.868868630661,462.036298758364,4.8848409539354,2.3781092196944,8.15438601570002,4.0890836340832,1.16932477282204
108,0.54039544,0.45960456,441.832569872297,238.764306002471,2.27412026024408,1.17040401775954,3.26954506176461,1.7109744143888,0.937718628571429
109,0.57020773,0.42979227,203.068263869826,115.791093776255,0.995424801520538,0.540570396629263,0.995424801520538,0.540570396629263,0.5
