edad,Exposicion,Muertes,TasaBruta,TasaWH,MuertesWH,TasaWH2,MuertesWH2
68,50201.996577686514,1109,0.022090754862385726,0.02213798573420389,1111.3710840653766,0.022189225789706366,1113.9434371563523
69,43485.5106091718,1025,0.023571069665301595,0.024166536452003753,1050.8941772705462,0.024195688432061636,1052.1618660086317
70,38341.70636550308,1028,0.02681153494318436,0.026283801218993767,1007.7657885079109,0.02625229358110463,1006.557731907695
71,33773.52156057495,957,0.028335807336038677,0.028147233453973814,950.6311959283211,0.028111225764358025,949.4150894467357
72,29824.143737166323,882,0.02957335532489629,0.029825170194105122,889.51016285444,0.029829242988053582,889.6316304465707
73,25942.25325119781,813,0.0313388352248262,0.03158912152562468,819.4929906006196,0.031621992435503204,820.3457360692855
74,22618.462012320328,785,0.03470616169978351,0.03357503973273016,759.4157607569028,0.03363295689202149,760.7257578241952
75,19802.09787816564,668,0.03373379952517838,0.035761072065121594,708.1442492616729,0.03591524884186035,711.1972728851938
76,17329.520876112252,679,0.039181694915522015,0.03892929730326786,674.6260703093607,0.03895056611381727,674.9946486057868
77,15073.737166324436,656,0.04351940018335601,0.04273548895349686,644.1835281593729,0.04258825333365793,641.9641371244
78,13110.466119096509,617,0.04706163719848885,0.046847671505997016,614.1948100379368,0.04667685963946685,611.9553868490534
79,11259.01505817933,581,0.05160309289913608,0.05128015657825161,577.3640551003286,0.05123756979528721,576.8845698696531
80,9545.777549623546,540,0.056569514342107816,0.05617621928367488,536.2456928608331,0.05637647611502219,538.1573000256669
81,7999.7707049965775,475,0.05937670184763167,0.06191274114692866,495.28773289323607,0.062302256888790396,498.4037695141166
82,6546.244353182752,462,0.07057481741807849,0.06922445576858748,453.160202677265,0.069325766527078,453.8234076579502
83,5209.4558521560575,401,0.07697540998145451,0.07786637305302703,405.6414327872584,0.07741552689194099,403.29276961496663
84,4056.3401779603014,363,0.08948953590537657,0.08801916700720826,357.03568356193665,0.08662243932431934,351.37008094416495
