Edad,qx,origen,px,lx,dx,Lx,Tx,ex,qx_ref,ex_ref,dif_qx_pct,dif_ex_pct
76,0.03895056611381727,Graduación,0.9610494338861827,6367291.943618068,248009.62581587158,6243287.130710132,69626883.83229432,10.935085818089634,0.06055723,9.270239748991361,-35.67974275934142,17.95904004833763
77,0.04258825333365793,Graduación,0.9574117466663421,6119282.317802196,260609.5455707334,5988977.545016829,63383596.70158418,10.35801151340719,0.06444797,8.835576395985635,-33.91839442940106,17.230739107334976
78,0.04667685963946685,Graduación,0.9533231403605331,5858672.772231462,273464.4466630141,5721940.548899955,57394619.15656735,9.796522418627381,0.06883571,8.409794569079857,-32.19092293888324,16.489437859113494
79,0.05123756979528721,Graduación,0.9487624302047128,5585208.325568448,286172.50140253257,5442122.0748671815,51672678.607667394,9.251701207118051,0.07371979,7.9945209497669385,-30.496858719636595,15.725523333424537
80,0.05637647611502221,Graduación,0.9436235238849778,5299035.824165916,298740.9665737368,5149665.340879047,46230556.53280021,8.724333646126471,0.08005169,7.590986797361177,-29.574908268617172,14.930164931379867
81,0.06230225688879037,Graduación,0.9376977431112097,5000294.857592179,311529.6547374054,4844530.030223477,41080891.19192117,8.215693746449,0.08593481,7.208027418802668,-27.5005589832684,13.979779336268356
82,0.06932576652707782,Graduación,0.9306742334729222,4688765.202854774,325052.24175339675,4526239.081978075,36236361.16169769,7.728337759296421,0.09222398,6.838675066274724,-24.828914858068558,13.009284465189966
83,0.07741552689194076,Graduación,0.9225844731080592,4363712.961101377,337819.1380888541,4194803.39205695,31710122.079719614,7.266775418637103,0.09885844,6.482642112836075,-21.690523447526836,12.09589072098227
84,0.08662243932431904,Graduación,0.913377560675681,4025893.8230125234,348732.74341005314,3851527.451307497,27515318.687662665,6.834586280040867,0.10576601,6.138959269436064,-18.099927070786688,11.331350805145576
85,0.09487563734138273,HP_Cola,0.9051243626586173,3677161.0796024706,348873.00103421137,3502724.579085365,23663791.236355167,6.43534257109928,0.11424258,5.805910234340415,-16.952473113454957,10.841234386228361
86,0.10288242917970894,HP_Cola,0.8971175708202911,3328288.0785682593,342422.36253296846,3157076.897301775,20161066.657269802,6.0574884689496455,0.121534,5.490252087688314,-15.346792519205376,10.331700115070083
87,0.11156493416567503,HP_Cola,0.888435065834325,2985865.7160352906,333117.91203702334,2819306.7600167794,17003989.759968027,5.694827355647582,0.12964852,5.1806434030324615,-13.948162180582512,9.925098344235494
88,0.12098017741834408,HP_Cola,0.8790198225816559,2652747.8039982677,320929.89997383306,2492282.8540113512,14184682.999951249,5.347166051206167,0.13990696,4.8778772261436965,-13.528120818046451,9.620759262804903
89,0.1311899965489076,HP_Cola,0.8688100034510924,2331817.9040244343,305911.18278164644,2178862.3126336113,11692400.145939898,5.014285260337111,0.15006501,4.590004246684402,-12.577891042750345,9.243586516487191
90,0.14226144779890798,HP_Cola,0.8577385522010921,2025906.7212427878,288208.4232695377,1881802.5096080191,9513537.833306286,4.695940703267043,0.16293381,4.3121377455991095,-12.687582890924867,8.900526381830822
91,0.1542672464534793,HP_Cola,0.8457327535465207,1737698.2979732503,268069.93159523094,1603663.3321756348,7631735.323698267,4.391864417775788,0.17478192,4.054165239428808,-11.737297282533971,8.329684618246073
92,0.16728624442216028,HP_Cola,0.8327137555778397,1469628.3663780193,245848.61010765345,1346704.0613241927,6028071.991522633,4.101766221605501,0.18747762,3.806940584031808,-10.770019151000385,7.744424454911049
