"Edad","qx","lx","dx","Dx","Nx","Cx","Mx","Rx"
89,0.15006501,564223.811211255,84670.2518716551,7338.4408,32163.1005,1048.803035,5806.864551,123940.1367
90,0.16293381,479553.5593396,78135.4885222621,5940.1882,24824.6597,921.769039,4758.061516,91777.0362
91,0.17478192,401418.070817338,70160.6211401503,4735.553,18884.4715,788.275286,3836.292478,66952.3765
92,0.18747762,331257.449677188,62103.3582727489,3721.7752,14148.9185,664.52339,3048.017192,48067.9049
93,0.20106321,269154.091404439,54116.9856024099,2880.0244,10427.1433,551.492341,2383.493801,33918.9864
94,0.21557974,215037.105802029,46357.6433591539,2191.3881,7547.1189,449.922734,1832.001461,23491.8431
95,0.23386842,168679.462442875,39448.7993679645,1637.1135,5355.7308,364.637289,1382.078726,15944.7243
96,0.25056103,129230.663074911,32380.1680476325,1194.5184,3718.6173,285.047403,1017.441437,10588.9935
97,0.26830449,96850.495027278,25985.4226745413,852.5892,2524.0988,217.86049,732.394034,6870.3762
98,0.28712621,70865.0723527366,20347.219646017,594.1292,1671.5096,162.46674,514.533544,4346.2774
99,0.30704706,50517.8527067196,15511.3581511113,403.3706,1077.3804,117.955968,352.066804,2674.7678
100,0.3320466,35006.4945556083,11623.7874951082,266.2065,674.0097,84.183786,234.110836,1597.3874
101,0.35446258,23382.7070605,8288.29467204906,169.3462,407.8032,57.168484,149.92705,923.3777
102,0.37799926,15094.412388451,5705.6767129693,104.1137,238.4569,37.480844,92.758566,515.5745
103,0.40263525,9388.73567548168,3780.23593588148,61.675,134.3433,23.650036,55.277722,277.1176
104,0.42833402,5608.49973960019,2402.3112396319,35.0881,72.6683,14.313732,31.627686,142.7743
105,0.45504205,3206.18849996829,1458.950587712,19.1035,37.5802,8.278943,17.313955,70.106
106,0.48268701,1747.23791225629,843.369043625633,9.9149,18.4767,4.557878,9.035012,32.5259
107,0.51117625,903.868868630661,462.036298758364,4.8848,8.5618,2.378109,4.477134,14.0492
108,0.54039544,441.832569872297,238.764306002471,2.2741,3.677,1.170404,2.099025,5.4873
109,0.57020773,203.068263869826,115.791093776255,0.9954,1.4029,0.54057,0.928621,1.8103
110,1,87.2771700935717,87.2771700935717,0.4075,0.4075,0.388051,0.388051,0.4075
