Edad,qx_ref,px_ref,lx_ref,dx_ref,Lx_ref,Tx_ref,ex_ref
42,0.0013552614107096722,0.9986447385892904,9739111.845196795,13199.042458380687,9732512.323967606,391753808.2076192,40.22479815762945
43,0.001563490723527785,0.9984365092764722,9725912.802738415,15206.374444921632,9718309.615515955,382021295.8836516,39.27870870650724
44,0.0016354831594448643,0.9983645168405552,9710706.428293493,15881.696829786995,9702765.579878598,372302986.26813567,38.33943380096212
45,0.0015677607269910156,0.998432239273009,9694824.731463706,15199.165469050018,9687225.14872918,362600220.68825704,37.40142093662299
46,0.0017053048266453508,0.9982946951733547,9679625.565994656,16506.712197810422,9671372.20989575,352912995.5395279,36.45936437658716
47,0.0016488241601752564,0.9983511758398247,9663118.853796845,15932.78382878527,9655152.461882453,343241623.3296321,35.52079080500652
48,0.0018224205078248576,0.9981775794921751,9647186.06996806,17581.229736712085,9638395.455099704,333586470.8677497,34.578629296496416
49,0.0017122461139401435,0.9982877538860598,9629604.840231348,16488.25346646532,9621360.713498116,323948075.41265,33.64084827855379
50,0.0019494849921788424,0.9980505150078212,9613116.586764883,18740.626513963638,9603746.2735079,314326714.6991519,32.697690895781875
51,0.002071527209390424,0.9979284727906096,9594375.960250918,19875.010858781152,9584438.454821527,304722968.425644,31.76058241704286
52,0.002127740431076133,0.9978722595689239,9574500.949392138,20372.052777398472,9564314.923003439,295138529.97082245,30.825473988757615
53,0.0023235049064940453,0.997676495093506,9554128.89661474,22199.06536856089,9543029.36393046,285574215.047819,29.890136310491364
54,0.0024384335056086112,0.9975615664943914,9531929.831246179,23242.977073620918,9520308.342709368,276031185.68388855,28.958583473730943
55,0.0027822753523094336,0.9972177246476905,9508686.854172558,26455.785067193032,9495458.961638961,266510877.34117916,28.02814746436098
56,0.0030860727556073493,0.9969139272443927,9482231.069105364,29262.854964739614,9467599.641622994,257015418.3795402,27.104952042029204
57,0.003539534170248916,0.9964604658297511,9452968.214140626,33459.104004227614,9436238.662138512,247547818.7379172,26.187311025505434
58,0.00397858474433402,0.996021415255666,9419509.110136399,37476.315244704,9400770.952514047,238111580.0757787,25.27855510214913
59,0.004480664804647245,0.9955193351953527,9382032.794891695,42037.744140117444,9361013.922821637,228710809.12326464,24.377532473324173
60,0.005350962211572618,0.9946490377884274,9339995.050751578,49977.96057284697,9315006.070465155,219349795.200443,23.485001224148636
61,0.005859502952971398,0.9941404970470286,9290017.09017873,54434.882573057024,9262799.648892201,210034789.12997785,22.608654762543285
62,0.006741909456222516,0.9932580905437774,9235582.207605673,62265.459019177106,9204449.478096083,200771989.48108566,21.73896403799494
63,0.007511095922627669,0.9924889040773723,9173316.748586494,68901.66202728012,9138865.917572856,191567540.00298956,20.88312714509809
64,0.00852476614713684,0.9914752338528632,9104415.086559216,77613.00951938193,9065608.581799524,182428674.0854167,20.037385416964884
65,0.01059882720449765,0.9894011727955023,9026802.077039832,95673.51542374566,8978965.31932796,173363065.5036172,19.20536908021676
66,0.012504897414568185,0.9874951025854318,8931128.561616087,111682.84645932908,8875287.138386423,164384100.18428922,18.405747834688423
67,0.013680315524147014,0.9863196844758529,8819445.715156758,120652.80013143086,8759119.315091044,155508813.04590282,17.63249279698512
68,0.015151704760451263,0.9848482952395488,8698792.915025327,131801.54202076897,8632892.144014943,146749693.73081177,16.87012154034989
69,0.01676607696469318,0.9832339230353068,8566991.37300456,143634.83671565694,8495173.954646729,138116801.58679682,16.12197276420945
70,0.01887709619419523,0.9811229038058048,8423356.5362889,159008.5116135287,8343852.280482136,129621627.6321501,15.388358200644067
71,0.02046809223605569,0.9795319077639443,8264348.024675372,169155.43763992016,8179770.305855412,121277775.35166796,14.674814636261862
72,0.02269995768376317,0.9773000423162368,8095192.587035452,183760.52916761808,8003312.322451643,113098005.04581255,13.971008574513762
73,0.024881576176883066,0.975118423823117,7911432.057867833,196848.89941607325,7813007.608159797,105094692.7233609,13.283902579792159
