"Edad","qx","px","lx","dx","Dx","Cx","Nx","Mx","Rx"
83,0.0774155268919408,0.922584473108059,4363712.96110138,337819.138088854,76057.904,5607.678771,472672.9833,53548.527537,2448319.0328
84,0.086622439324319,0.913377560675681,4025893.82301252,348732.743410053,66828.4202,5513.181693,396615.0794,47940.848766,1975646.0495
85,0.0948756373413827,0.905124362658617,3677161.07960247,348873.001034211,58132.9328,5252.761002,329786.6591,42427.667073,1579030.9702
86,0.102882429179709,0.897117570820291,3328288.07856826,342422.362532968,50111.9369,4910.13124,271653.7263,37174.906071,1249244.311
87,0.111564934165675,0.888435065834325,2985865.71603529,333117.912037023,42815.523,4549.248573,221541.7894,32264.774831,977590.5848
88,0.120980177418344,0.879019822581656,2652747.80399827,320929.899973833,36227.44,4174.097253,178726.2664,27715.526258,756048.7954
89,0.131189996548908,0.868810003451092,2331817.90402443,305911.182781646,30328.2265,3789.295175,142498.8264,23541.429005,577322.529
90,0.142261447798908,0.857738552201092,2025906.72124279,288208.423269538,25094.7301,3400.012034,112170.5999,19752.133829,434823.7026
91,0.154267246453479,0.845732753546521,1737698.29797325,268069.931595231,20499.7309,3011.844801,87075.8698,16352.121796,322653.1027
92,0.16728624442216,0.83271375557784,1469628.36637802,245848.610107653,16511.7084,2630.649234,66576.1389,13340.276995,235577.2329
93,0.181403948123945,0.818596051876055,1223779.75627037,221998.479421603,13094.7874,2262.329649,50064.4304,10709.627761,169001.0941
94,0.196713080077943,0.803286919922057,1001781.27684876,197063.480533335,10208.8964,1912.593773,36969.643,8447.298112,118936.6636
95,0.213314187888084,0.786685812111916,804717.796315428,171657.723200114,7810.1647,1586.684712,26760.7466,6534.70434,81967.0206
96,0.231316304621549,0.768683695378451,633060.073115314,146437.116716482,5851.5674,1289.107572,18950.5819,4948.019628,55206.274
97,0.250837664918201,0.749162335081799,486622.956398832,122063.366078674,4283.8138,1023.373185,13099.0145,3658.912056,36255.6921
98,0.272006481534264,0.727993518465736,364559.590320157,99162.5714725587,3056.4495,791.784822,8815.2007,2635.538871,23156.6776
99,0.294961787420472,0.705038212579528,265397.018847598,78281.9790553524,2119.1194,595.294527,5758.7512,1843.754048,14341.477
100,0.319854348865287,0.680145651134713,187115.039792246,59849.5592156511,1422.9144,433.452738,3639.6318,1248.459522,8582.7257
101,0.346847655700557,0.653152344299443,127265.480576595,44141.7335895967,921.7039,304.467457,2216.7174,815.006784,4943.0939
102,0.376118995073099,0.623881004926901,83123.7469869981,31264.4201834602,573.3458,205.377364,1295.0135,510.539327,2726.3766
103,0.407860615834546,0.592139384165454,51859.3268035378,21151.3769668559,340.6662,132.327937,721.6677,305.161963,1431.3631
104,0.442280991196961,0.557719008803039,30707.9498366819,13581.5424913942,192.1161,80.923134,381.0015,172.834026,709.6954
105,0.479606187947107,0.520393812052893,17126.4073452877,8213.93094010277,102.0446,46.61067,188.8854,91.910892,328.6939
106,0.520081351212131,0.479918648787869,8912.47640518494,4635.21277145482,50.5746,25.050401,86.8408,45.300222,139.8085
107,0.563972314528323,0.436027685471677,4277.26363373012,2412.2582713626,23.1159,12.415937,36.2662,20.249822,52.9676
108,0.611567345787604,0.388432654212396,1865.00536236752,1140.57637934275,9.5992,5.591017,13.1503,7.833884,16.7014
109,0.663179040528791,0.336820959471209,724.428983024768,480.426117893613,3.5511,2.242868,3.5511,2.242868,3.5511
