Edad,qx,origen,px,lx,dx,Lx,Tx,ex
22,0.0010807023742855169,Graduación,0.9989192976257145,9933307.80999517,10734.949334770648,9927940.335327785,558745372.2391473,56.24967864953527
23,0.0011323023005909505,Graduación,0.9988676976994091,9922572.8606604,11235.3520779071,9916955.184621446,548817431.9038196,55.309992641091355
24,0.0011663286150471923,Graduación,0.9988336713849528,9911337.508582493,11559.87654965031,9905557.570307668,538900476.7191981,54.37212447387144
25,0.001220042926070998,Graduación,0.998779957073929,9899777.632032843,12078.153669637566,9893738.555198025,528994919.14889044,53.435030443230815
26,0.0012915692609339045,Graduación,0.9987084307390661,9887699.478363205,12770.648707606117,9881314.154009402,519101180.59369236,52.49969234295778
27,0.0013653654220923345,Graduación,0.9986346345779077,9874928.829655599,13482.88636963448,9868187.386470782,509219866.43968296,51.56694040269277
28,0.0014650842755858965,Graduación,0.9985349157244141,9861445.943285964,14447.849386048596,9854222.01859294,499351679.0532122,50.63676076764273
29,0.0015784219891173431,Graduación,0.9984215780108826,9846998.093899917,15542.718318208194,9839226.734740812,489497457.0346193,49.710323122521615
30,0.0016423057051623232,Graduación,0.9983576942948377,9831455.375581708,16146.25525336663,9823382.247955024,479658230.2998784,48.788120575840786
31,0.0016910110259833837,Graduación,0.9983089889740167,9815309.12032834,16597.79594591049,9807010.222355384,469834848.0519234,47.86755488717675
32,0.001750798381645621,Graduación,0.9982492016183544,9798711.32438243,17155.56792894138,9790133.54041796,460027837.829568,46.94778962258709
33,0.0018546932780866697,Graduación,0.9981453067219134,9781555.75645349,18141.785710724256,9772484.863598127,450237704.28915006,46.02925296337454
34,0.0019400123992024073,Graduación,0.9980599876007976,9763413.970742766,18941.144161786975,9753943.398661874,440465219.42555195,45.11385266930794
35,0.002052490477377136,Graduación,0.9979475095226229,9744472.82658098,20000.43768361773,9734472.607739171,430711276.0268901,44.200572333887116
36,0.0022193527388275265,Graduación,0.9977806472611724,9724472.388897361,21582.03442995202,9713681.371682385,420976803.4191509,43.290451819246165
