Edad,qx,px,lx,dx,Dx,Cx,Nx,Mx,Rx
82,0.0663800734787865,0.9336199265212135,5532521.548353265,367249.18690265936,101251.29589740699,6401.017582373552,668036.6855272063,69437.69888584023,3637642.2631035005
83,0.07353993463399933,0.9264600653660007,5165272.361450607,379853.79182788095,90028.78803420455,6305.439225917698,566785.3896297993,63036.68130346668,2969605.5775762945
84,0.08476330448420696,0.915236695515793,4785418.569622725,405627.8913013092,79436.26366380091,6412.647813354763,476756.6015955948,56731.24207754898,2402820.187946495
85,0.09356764964365125,0.9064323503563487,4379790.678321416,409806.7197017078,69240.93662836036,6170.201618514934,397320.3379317938,50318.59426419422,1926063.5863509004
86,0.1013002452898692,0.8986997547101307,3969983.9586197077,402160.3488050223,59773.54755135208,5766.738122664406,328079.40130343346,44148.39264567928,1528743.2484191065
87,0.10967187628276551,0.8903281237172345,3567823.6098146853,391289.909534326,51160.450021480436,5343.67861459658,268305.8537520814,38381.65452301488,1200663.8471156731
88,0.11873535363082785,0.8812646463691721,3176533.7002803595,377166.8522230306,43380.559501099066,4905.529593396349,217145.40373060096,33037.975908418295,932357.9933635916
89,0.12854785273745886,0.8714521472625412,2799366.8480573287,359852.59734219784,36409.28897907895,4457.462779007832,173764.8442295019,28132.446315021945,715212.5896329907
90,0.13917127408227176,0.8608287259177283,2439514.250715131,339510.3064138833,30218.05053440069,4005.2234220523965,137355.55525042294,23674.983536014115,541447.7454034887
91,0.150672633709725,0.8493273662902749,2100003.9443012476,316413.1250886796,24773.872324995875,3554.994847995806,107137.50471602226,19669.760113961718,404092.19015306584
92,0.16312448598842622,0.8368755140115738,1783590.819212568,290947.33559772617,20039.169271047886,3113.2182733092873,82363.63239102639,16114.765265965912,296954.68543704355
93,0.17660538130801098,0.823394618691989,1492643.4836148417,263608.871580717,15971.70484197441,2686.370498815139,62324.46311997851,13001.546992656624,214591.0530460172
94,0.19120036160089954,0.8087996383991005,1229034.6120341248,234991.86224094592,12524.776969731916,2280.706557698439,46352.7582780041,10315.176493841485,152266.58992603866
95,0.20700149681484503,0.792998503185155,994042.7497931789,205768.33710513252,9647.652461093863,1901.9795239960506,33827.98130827218,8034.469936143047,105913.83164803458
96,0.22410846572052046,0.7758915342794795,788274.4126880465,176658.96919426246,7286.260915140962,1555.155004315844,24180.328847178316,6132.490412146995,72085.8503397624
97,0.2426291847180684,0.7573708152819316,611615.4434937839,148395.75641587665,5384.141105342214,1244.1426350440202,16894.067932037353,4577.335407831151,47905.521492584085
98,0.26268048860933435,0.7373195113906656,463219.6870779073,121678.77373508766,3883.610798615232,971.570268713082,11509.92682669514,3333.1927727871316,31011.45356054673
99,0.2843888676303175,0.7156111323696825,341540.91334281967,97130.43359498889,2727.106682349043,738.6274107622061,7626.316028079908,2361.6225040740496,19501.52673385159
